"","Latitude","Longitude","X100","NPP","W","K","z_star"
"197",-74.5,-39.5,-1.833,155.178,3.21461554020828,0.0109,294.918856899842
"198",-74.5,-38.5,-1.857,155.178,3.20392458319362,0.0103,311.060639145012
"199",-74.5,-37.5,-1.862,155.178,3.20170177968991,0.0108,296.453868489806
"200",-74.5,-36.5,-1.864,155.178,3.20081309014364,0.0117,273.573768388345
"201",-74.5,-35.5,-1.857,155.178,3.20392458319362,0.0107,299.432204036787
"202",-74.5,-34.5,-1.864,155.178,3.20081309014364,0.0101,316.912187142934
"203",-74.5,-33.5,-1.851,155.178,3.2065939845119,0.01,320.65939845119
"204",-74.5,-32.5,-1.885,155.178,3.19149672962702,0.0111,287.522227894326
"205",-74.5,-31.5,-1.887,149.544,3.18255885817847,0.0111,286.717014250313
"206",-74.5,-30.5,-1.907,123.735,3.13721086333811,0.0104,301.654890705588
"207",-74.5,-29.5,-1.888,240.5465,3.31468091349823,0.0115,288.23312291289
"208",-74.5,-28.5,-1.865,245.9645,3.33337001994876,0.0105,317.463811423692
"209",-74.5,-27.5,-1.893,245.9645,3.32044005439698,0.0103,322.372820815241
"210",-74.5,-26.5,-1.879,245.9645,3.32689875565277,0.0118,281.940572512947
"211",-74.5,-25.5,-1.899,245.9645,3.31767587935602,0.01,331.767587935602
"212",-74.5,166.5,-1.755,935.525,4.6113471903634,0.0117,394.132238492598
"213",-74.5,167.5,-1.814,1863.66,6.93512588133174,0.0107,648.142605731938
"214",-74.5,168.5,-1.709,1888.425,7.11553657773747,0.0107,665.003418480137
"215",-74.5,169.5,-1.696,1896.15,7.15312803035914,0.0115,622.011133074708
"216",-74.5,170.5,-1.72,1304.37,5.46741070240939,0.012,455.617558534116
"217",-74.5,171.5,-1.801,1150.13433333333,5.04494819565537,0.0117,431.192153474818
"218",-74.5,172.5,-1.632,646.063666666667,4.11965504164499,0.0103,399.966508897572
"219",-74.5,173.5,-1.484,433.908,3.82347803672384,0.0118,324.023562434224
"220",-74.5,174.5,-1.52,300.329,3.58318973984056,0.0116,308.895667227635
"221",-74.5,175.5,-1.568,234.36875,3.45563995827516,0.0119,290.389912460097
"222",-74.5,176.5,-1.667,300.392,3.51091812588716,0.0102,344.207659400702
"223",-74.5,177.5,-1.593,314.07825,3.56900661342372,0.0102,349.902609159188
"224",-74.5,178.5,-1.743,305.62125,3.48223334248454,0.0118,295.104520549537
"225",-74.5,179.5,-1.594,285.151333333333,3.5225134116248,0.0111,317.343550596829
"226",-73.5,-177.5,-1.44,176.946666666667,3.42814970836354,0.011,311.649973487595
"227",-73.5,-176.5,-1.455,173.312333333333,3.41544784677278,0.0105,325.280747311694
"228",-73.5,-175.5,-0.913,166.954666666667,3.67182401862963,0.0117,313.831112703388
"229",-73.5,-174.5,-1.156,140.055,3.50746960871578,0.0115,304.997357279633
"230",-73.5,-173.5,-1.529,196.946,3.41656919494299,0.0116,294.531827150258
"231",-73.5,-172.5,-1.549,486.648,3.87983323173557,0.0115,337.376802759615
"232",-73.5,-171.5,-1.639,440.784,3.75365442655476,0.0102,368.005335936742
"233",-73.5,-170.5,-1.71,601.92,3.99540259156713,0.0109,366.550696474049
"234",-73.5,-169.5,-1.744,383.225,3.60506691289291,0.0101,356.937318108209
"235",-73.5,-168.5,-1.417,327.201,3.67885739728252,0.0108,340.634944192826
"236",-73.5,-167.5,-1.441,290.051,3.60603619547472,0.0103,350.1006015024
"237",-73.5,-166.5,-1.329,161.984,3.45809227429184,0.012,288.174356190986
"238",-73.5,-165.5,-1.16,144.512,3.51253718120401,0.0114,308.117296596843
