"","df71.Fz0","df71.Longitude","df71.Latitude"
"679",92.3123418027646,-133.5,-69.5
"680",73.1566979790114,-129.5,-69.5
"681",63.0439702418814,-127.5,-69.5
"682",52.2896806768946,-126.5,-69.5
"683",53.9813729350404,-125.5,-69.5
"684",52.9082373059085,-124.5,-69.5
"685",48.8834572358311,-123.5,-69.5
"686",53.5084208943045,-122.5,-69.5
"687",53.341734786658,-121.5,-69.5
"688",48.2926338820208,-120.5,-69.5
"689",50.1871511831544,-119.5,-69.5
"690",50.1029075536296,-118.5,-69.5
"691",52.3440902328636,-117.5,-69.5
"692",75.5005995987978,-116.5,-69.5
"693",78.7202633334334,-115.5,-69.5
"694",79.0231302770026,-114.5,-69.5
"695",76.1009385517856,-112.5,-69.5
"696",81.6188791979145,-109.5,-69.5
"697",81.1760780063252,-108.5,-69.5
"698",82.4457579678941,-107.5,-69.5
"699",60.9359341573644,-106.5,-69.5
"700",45.3242569071238,-105.5,-69.5
"701",71.072301783553,-104.5,-69.5
"702",70.0044358900816,-103.5,-69.5
"703",70.6247902269666,-102.5,-69.5
"704",38.1917339425937,-101.5,-69.5
"705",36.9305936665142,-100.5,-69.5
"706",36.2166660166008,-99.5,-69.5
"707",35.9847548659942,-98.5,-69.5
"708",37.0455293214063,-97.5,-69.5
"709",30.4525503007839,-96.5,-69.5
"710",32.0620072521086,-95.5,-69.5
"711",31.0449788550707,-94.5,-69.5
"712",21.7241045696796,-93.5,-69.5
"713",21.9879549152305,-92.5,-69.5
"714",22.7214576508334,-91.5,-69.5
"715",24.8137247999744,-90.5,-69.5
"716",28.5206133231795,-89.5,-69.5
"717",44.2241814276485,-88.5,-69.5
"718",51.4280225359894,-87.5,-69.5
"719",52.8094010659691,-86.5,-69.5
"720",88.9034098128665,-85.5,-69.5
"721",81.654873150355,-84.5,-69.5
"722",80.0713343614871,-83.5,-69.5
